Unnamed: 0,Original Title Text,Title Sentence Vector,Original Description Text,Description Sentence Vector,Original Author Text,Author Sentence Vector,Cluster
63,"3 wounded overnight in 2 separate shootings in South Shore neighborhood, cops say",-0.105880276649259,"A 43-year-old man, and two women were wounded overnight Tuesday in two separate shootings in the South Shore neighborhood, Chicago police said.",0.0763621762162074,Deanese Williams-Harris,0.0551223242073319,3
64,"At least 2 armed robberies reported overnight within 10 minutes of each other, cops say",-0.0396164571866393,"Three victims were robbed by gunmen overnight within 10 minutes of each other on the Northwest Side, police said.",0.0332327676005661,Deanese Williams-Harris,-0.0250477838562801,1
65,Organized program for Small Business Saturday in Libertyville brings increase business for Main Street establishments,-0.036788343131775,"For Main Street retailers in Libertyville, the Saturday after Thanksgiving kicks off what they hope to be a busy holiday season.",0.0567431689778459,Chloe Hilles,0.0690219134557992,3
66,UNITED Weighs Using Passenger Data to Sell Targeted Ads...,0.0060324723599478,"UNITED Weighs Using Passenger Data to Sell Targeted Ads...
 
 
 
 (Third column, 4th story, link)
 
 
 
 Related stories:Record crowds take to air and roads for Thanksgiving...
FLL Most Delayed Airport, DAL Most Cancellations...",0.0714129895495716,Patience Haggin,0.0399663598363986,3
67,‘Rustin’ review: Colman Domingo takes care of business in civil rights activist biopic on Netflix,-0.043712907237932,"In Netflix's ""Rustin,"" as civil rights strategist Bayard Rustin, Colman Domingo scales everything beautifully, intimately.",0.0242771602788707,Michael Phillips,-0.0410905335265852,1
68,Death investigation underway after a man and 6-year-old boy discovered deceased in Logan Square neighborhood,0.006966008204472,"Shortly after 10:15 p.m., officers responded to a residence in the 3500 block of West Lyndale Street and discovered a boy and a man in an advanced state of decomposition inside of a bedroom.",0.0913978687603958,Deanese Williams-Harris,0.0319421749445609,4
69,Harvard Health: How long does it take to heal cellulitis on legs?,-0.0860394581104628,"Cellulitis is an infection of the deep layers of the skin. It develops when bacteria enter through a cut, bite, or wound -- including tiny breaks in cracked, dry skin.",0.0673314301820937,"Julie Corliss, Harvard Health Blogs",0.0853941030800342,0
70,"Extra-alarm fire destroys warehouse overnight in Logan Square neighborhood, officials say",0.0018376101797912,"Firefighters were called shortly before midnight to the 2700 block of North Pulaski Road where a fire broke out in the back of a warehouse, officials said.",0.073058317109826,Deanese Williams-Harris,0.0024533675750717,4
71,Larry Summers Is Surprise Pick to Chart Path Forward...,0.009629764361307,"Larry Summers Is Surprise Pick to Chart Path Forward...
 
 
 
 (Second column, 8th story, link)
 
 
 
 Related stories:Altman returns to OPENAI in bizarre reversal of fortunes...
 
 
 
 Drudge Report Feed needs your support!   Become a Patron",0.0767610606417292,Newley Purnell,0.0659311772469664,3
72,"Man, 64, gunned down overnight in the East Pilsen neighborhood, Chicago police said",-0.0636269661481492,"Shortly before 4 a.m., a victim was sitting inside of his vehicle in the 1800 block of South Canalport Avenue when someone opened fire in his direction, striking him 14 times, police said.",0.1329365427081938,Deanese Williams-Harris,0.0492432407336309,2
73,Sony facing $7.9B mass lawsuit over Playstation Store prices,-0.0776718358683865,"Sony <a href=""https://www.reuters.com/markets/companies/6758.T"" target=""_blank"">(6758.T)</a> must face a mass lawsuit worth up to 6.3 billion pounds ($7.9 billion) over claims the PlayStation maker abused its dominant position leading to unfair prices for cus…",0.0585414700617548,Reuters,0.0707159151497762,3
74,Senators Call for Investigation of Health Insurers’ Role in Driving Up Drug Costs,0.0320521225221455,Request follows Wall Street Journal article reporting high markups on certain generic drugs for cancer and multiple sclerosis,0.0768037053057923,Joseph Walker,-0.0231450215942459,4
75,"James ‘Pate’ Philip, former Illinois Senate President who once symbolized suburban Republicanism, dies",-0.0406299295136705,"Philip, of Wood Dale, served 36 years in the Illinois General Assembly and was the longest serving Republican Senate president.",0.0249139817169634,Rick Pearson,0.0133703596366103,1
76,Daywatch: Who are the volunteers offering help at O’Hare?,-0.0354969636264286,"Good morning, Chicago. Here are some of the top stories you need to know to start your day.",0.0599154523442848,Chicago Tribune staff,0.0739219157985644,3
77,Deere forecasts downbeat profit as high borrowing costs pinch demand,-0.003358209200087,"Deere & Co <a href=""https://www.reuters.com/markets/companies/DE.N"" target=""_blank"">(DE.N)</a> forecast 2024 profits below analysts' expectations on Wednesday, saying high borrowing costs and tighter budgets will likely dent demand for the farm equipment make…",0.0817664380883798,Bianca Flowers,0.055880369967781,3
